Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
32308,G. ROSS LORD PARK,60,1,"(-79.4671186687518,43.7780932594047)",Public
32309,G. ROSS LORD PARK,143,2,"(-79.4625648169417,43.776614740811)",Public
32310,G. ROSS LORD PARK,139,,"(-79.4652452207445,43.7804470727446)",Staff
32311,G. ROSS LORD PARK,62,,"(-79.4675747256157,43.7745163754369)",Public
32312,G. ROSS LORD PARK,8,2,"(-79.4614432905181,43.7704245915143)",Private
32313,G. ROSS LORD PARK,79,,"(-79.4643491365287,43.7795306479136)",Public
32314,G. ROSS LORD PARK,14,2,"(-79.4626311429575,43.777011161955)",Private
32315,G. ROSS LORD PARK,79,1,"(-79.4637393726059,43.7796587289923)",Public
32316,GALLOWAY PARK,26,2,"(-79.1937444439328,43.7574018485842)",Public
44889,GARRISON COMMON,,,"(-79.4053142139057,43.6382001513151)",Staff
32317,GIHON SPRING PARK,30,,"(-79.5949229420942,43.7551709722241)",Public
49514,GLEN AGAR PARK,10,,"(-79.556921593734,43.6617171670501)",Public
32318,GLEN LONG PARK,29,2,"(-79.4559908471458,43.7082368686907)",Public
32553,GLEN LONG PARK,28,2,"(-79.4564341889775,43.7081543027689)",Public
32319,GOLDHAWK PARK,23,3,"(-79.278320297606,43.8242574396007)",Public
32320,GOLDHAWK PARK,107,4,"(-79.2788928724341,43.8237126670062)",Public
32321,GORD AND IRENE RISK PARK,42,6,"(-79.5657103475064,43.7474991686249)",Public
32322,GORD AND IRENE RISK PARK,82,3,"(-79.567104555673,43.7472178960794)",Public
32323,GOULDING PARK,101,3,"(-79.4216684520863,43.7911341548492)",Public
32325,GRANDRAVINE PARK,33,4,"(-79.4908396536581,43.7524526260608)",Public
32324,GRANDRAVINE PARK,45,4,"(-79.4903498107761,43.751447901894)",Public
32326,GUILD PARK AND GARDENS,,,"(-79.1898013279774,43.748992471862)",Public
32327,HABITANT PARK,80,3,"(-79.5393337487842,43.7471499433137)",Public
32559,HARRISON POOL - Building Grounds,1,1,"(-79.3909174086614,43.6512722411769)",Public
49517,HARRISON PROPERTIES,,,,
32328,HENDON PARK,28,2,"(-79.4187499950289,43.781543100389)",Public
32533,HERBERT H. CARNEGIE CENTENNIAL CENTRE - Building Grounds,366,4,"(-79.4505069719283,43.7743413641983)",Public
32330,HERON PARK,82,4,"(-79.1782464207596,43.76974069223)",Public
32329,HERON PARK,104,6,"(-79.1761583817749,43.7688861030799)",Public
32338,HIGH PARK,11,,"(-79.4648557934516,43.65175123949)",Public
32340,HIGH PARK,66,,"(-79.4649366745634,43.6470183405156)",Public
32341,HIGH PARK,15,,"(-79.4649636047352,43.6494694351486)",Public
32342,HIGH PARK,13,1,"(-79.464678516552,43.6513705874224)",Public
32343,HIGH PARK,15,,"(-79.4650948208815,43.6489735882606)",Public
32344,HIGH PARK,8,,"(-79.4649022251942,43.6489858784691)",Public
